channel_name,channel_id,playlists_id,subscriber_count,video_count,view_count,title,publishedAt,likes,views
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,Karakoram Highway ทางหลวงที่มีวิวสวยที่สุดในโลก และซากุระปากีสถานที่มีแค่ปีละครั้ง | VLOG,2024-05-04T05:00:15Z,1408,51377
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,เกาะมันนอก นอนบนเกาะแบบส่วนตัว และล่องเรือกลางทะเลระยอง | VLOG,2024-05-01T11:30:17Z,2457,170361
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,9 วัน 8 คืน Road Trip สวิตเซอร์แลนด์ และพาทั้งออฟฟิศ Outing ยุโรปครั้งแรก | VLOG,2024-04-29T11:30:29Z,1652,75411
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,ขับรถเที่ยวรอบเกาะ Okinawa 18 จุด 3 วัน 2 คืน อัพเดท 2024 | VLOG,2024-04-27T05:00:30Z,4121,311630
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,สำรวจที่มาของรังนก วิธีการเก็บ ไปจนถึงการผลิต บนเกาะรังนก กว่าจะมาเป็น 1 ขวด | VLOG,2024-04-24T11:30:06Z,3125,206571
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,ปากีสถานตอนเหนือ หนึ่งในประเทศที่มีวิวสวยที่สุดในโลก Skardu | VLOG,2024-04-20T05:00:19Z,7505,505959
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,รู้หรือไม่ว่านอกจากทัชมาลฮาลปกติ ยังมีทัชมาฮาลสีแดงด้วย Agra | VLOG,2024-04-17T11:30:30Z,2845,126783
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,"กำลังจะถูกทิ้งร้าง ? Tianducheng ปารีสเมืองจีนที่ลงทุนสร้างกว่า 1,000 ล้านดอลลาร์  | VLOG",2024-04-13T05:00:32Z,4298,235370
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,Madinah เมืองศักดิ์สิทธิ์อันดับ 2 ของศาสนาอิสลาม | VLOG,2024-04-10T11:30:16Z,6203,297958
Go Went Go,UCqs3pijNrYHZCdl_HGfgTQw,UUqs3pijNrYHZCdl_HGfgTQw,1340000,502,231763874,"ย้อนอดีต 1,700 ปีกับเมืองโบราณที่เคยถูกลืม เมืองโบราณศรีเทพ มรดกโลกแห่งที่ 7 ของไทย | VLOG",2024-04-06T05:00:18Z,4754,227296
